"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3145"	"1"	"100073"	"WE"	"COM-BDG-003145"	"1"	"3113"	"HES-BDG-003113"	"9060"	"13048"	"100"	"270"	"27000"
"3145"	"1"	"100073"	"WE"	"COM-BDG-003145"	"1"	"3113"	"HES-BDG-003113"	"9061"	"13049"	"100"	"165"	"16500"
"3145"	"1"	"100073"	"WE"	"COM-BDG-003145"	"1"	"3113"	"HES-BDG-003113"	"9062"	"13050"	"60"	"210"	"12600"
"3145"	"1"	"100073"	"WE"	"COM-BDG-003145"	"1"	"3113"	"HES-BDG-003113"	"9063"	"13051"	"120"	"326.25"	"39150"
"3144"	"1"	"100012"	"WE"	"COM-BDG-003144"	"1"	"3112"	"HES-BDG-003112"	"9058"	"13046"	"60"	"238.62"	"14317.2"
"3144"	"1"	"100012"	"WE"	"COM-BDG-003144"	"1"	"3112"	"HES-BDG-003112"	"9059"	"13047"	"120"	"168.78"	"20253.6"
"3143"	"1"	"100029"	"WE"	"COM-BDG-003143"	"1"	"3110"	"HES-BDG-003110"	"9056"	"13045"	"100"	"407.96"	"40796"
"3143"	"1"	"100029"	"WE"	"COM-BDG-003143"	"1"	"3111"	"HES-BDG-003111"	"9057"	"13045"	"100"	"407.96"	"40796"
"3141"	"1"	"100029"	"WE"	"COM-BDG-003141"	"1"	"3108"	"HES-BDG-003108"	"9054"	"13042"	"100"	"407.96"	"40796"
"3141"	"1"	"100029"	"WE"	"COM-BDG-003141"	"1"	"3109"	"HES-BDG-003109"	"9055"	"13042"	"100"	"407.96"	"40796"
"3140"	"1"	"100029"	"WE"	"COM-BDG-003140"	"1"	"3106"	"HES-BDG-003106"	"9052"	"13040"	"62.5"	"501.98"	"31373.75"
"3140"	"1"	"100029"	"WE"	"COM-BDG-003140"	"1"	"3107"	"HES-BDG-003107"	"9053"	"13041"	"360"	"431.2"	"155232"
"3135"	"1"	"100029"	"WE"	"COM-BDG-003135"	"1"	"3105"	"HES-BDG-003105"	"9051"	"13032"	"200"	"407.96"	"81592"
"3125"	"1"	"100076"	"WE"	"COM-BDG-003125"	"1"	"3101"	"HES-BDG-003101"	"9047"	"13021"	"600"	"75"	"45000"
"3125"	"1"	"100076"	"WE"	"COM-BDG-003125"	"1"	"3101"	"HES-BDG-003101"	"9048"	"13022"	"500"	"248"	"124000"
"3125"	"1"	"100076"	"WE"	"COM-BDG-003125"	"1"	"3102"	"HES-BDG-003102"	"9049"	"13021"	"400"	"75"	"30000"
"3124"	"1"	"100029"	"WE"	"COM-BDG-003124"	"1"	"3100"	"HES-BDG-003100"	"9046"	"13020"	"50"	"691.2"	"34560"
"3123"	"1"	"100012"	"WE"	"COM-BDG-003123"	"1"	"3098"	"HES-BDG-003098"	"9044"	"13018"	"60"	"238.62"	"14317.2"
"3123"	"1"	"100012"	"WE"	"COM-BDG-003123"	"1"	"3099"	"HES-BDG-003099"	"9045"	"13019"	"120"	"168.78"	"20253.6"
"3119"	"1"	"100029"	"WE"	"COM-BDG-003119"	"1"	"3097"	"HES-BDG-003097"	"9043"	"13013"	"160"	"82.96"	"13273.6"
"3118"	"1"	"100029"	"WE"	"COM-BDG-003118"	"1"	"3096"	"HES-BDG-003096"	"9042"	"13012"	"20"	"704.75"	"14095"
"3117"	"1"	"100029"	"WE"	"COM-BDG-003117"	"1"	"3095"	"HES-BDG-003095"	"9040"	"13009"	"360"	"431.2"	"155232"
"3117"	"1"	"100029"	"WE"	"COM-BDG-003117"	"1"	"3095"	"HES-BDG-003095"	"9041"	"13011"	"62.5"	"501.98"	"31373.75"
"3116"	"1"	"100029"	"WE"	"COM-BDG-003116"	"1"	"3094"	"HES-BDG-003094"	"9039"	"13008"	"50"	"691.2"	"34560"
"3115"	"1"	"100155"	"WE"	"COM-BDG-003115"	"1"	"3092"	"HES-BDG-003092"	"9035"	"13006"	"45"	"1230"	"55350"
